Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
footPoundForcePerMinute,Foot Pound Force per Minute,Power,ft-lbf/min,http://qudt.org/vocab/unit#FootPoundForcePerMinute
footPoundForcePerSecond,Foot Pound Force per Second,Power,ft-lbf/s,http://qudt.org/vocab/unit#FootPoundForcePerSecond
gigawatt,Gigawatt,Power,GW,
horsepower,Horsepower,Power,HP,http://qudt.org/vocab/unit#Horsepower; http://unitsofmeasure.org/ucum.html#para-43; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,Boiler","Horsepower, Boiler",Power,hp/boiler,http://qudt.org/vocab/unit#HorsepowerBoiler; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,British","Horsepower, British",Power,,http://www.unidata.ucar.edu/software/udunits/
"horsepower,Electric","Horsepower, Electric",Power,hp/V,http://qudt.org/vocab/unit#HorsepowerElectric; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,Imperial","Horsepower, Imperial",Power,HP,http://unitsofmeasure.org/ucum.html#para-43
"horsepower,Metric","Horsepower, Metric",Power,hp/m,http://qudt.org/vocab/unit#HorsepowerMetric; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"horsepower,Water","Horsepower, Water",Power,hp/H2O,http://qudt.org/vocab/unit#HorsepowerWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilocaloriePerMinute,Kilocalorie per Minute,Power,kcal/min,http://qudt.org/vocab/unit#KilocaloriePerMinute
kilocaloriePerSecond,Kilocalorie per Second,Power,kcal/s,http://qudt.org/vocab/unit#KilocaloriePerSecond
kilovolt-Ampere,Kilovolt-ampere,Power,kVA,
kilowatt,Kilowatt,Power,kW,http://qudt.org/vocab/unit#Kilowatt; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megavolt-Ampere,Megavolt-ampere,Power,MVA,
megawatt,Megawatt,Power,MW,
planckPower,Planck Power,Power,,http://qudt.org/vocab/unit#PlanckPower
tonOfRefrigeration,Ton of Refrigeration,Power,t/fg,http://qudt.org/vocab/unit#TonOfRefrigeration; http://www.unidata.ucar.edu/software/udunits/
volt-Ampere,Volt-ampere,Power,VA,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
watt,Watt,Power,W,http://qudt.org/vocab/unit#Watt; http://unitsofmeasure.org/ucum.html#para-30;http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
wattSquareMeter,Watt Square Meter,Power area,W m^2,http://qudt.org/vocab/unit#WattSquareMeter
wattSquareMeterPerSteradian,Watt Square Meter per Steradian,Power area per solid angle,W m^2 sr^-1,http://qudt.org/vocab/unit#WattSquareMeterPerSteradian
btuPerHourSquareFoot,Btu per Hour Square Foot,Power per area,,http://qudt.org/vocab/unit#BtuPerHourSquareFoot
btuPerSecondSquareFoot,Btu per Second Square Foot,Power per area,Btu/(s-ft^2),http://qudt.org/vocab/unit#BtuPerSecondSquareFoot
caloriePerSquareCentimeterPerDay,Calorie per Square Centimeter per Day,Power per area,cal/cm^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
caloriePerSquareCentimeterPerMinute,Calorie per Square Centimeter per Minute,Power per area,cal/cm^2 min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ergPerSquareCentimeterSecond,Erg per Square Centimeter Second,Power per area,erg/(cm^2-s),http://qudt.org/vocab/unit#ErgPerSquareCentimeterSecond
footPoundForcePerSquareFootSecond,Foot Pound Force per Square Foot Second,Power per area,ft-lbf(ft^2-s),http://qudt.org/vocab/unit#FootPoundForcePerSquareFootSecond
kilocaloriePerSquareCentimeterMinute,Kilocalorie per Square Centimeter Minute,Power per area,kcal/(cm^2-min),http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterMinute
kilocaloriePerSquareCentimeterSecond,Kilocalorie per Square Centimeter Second,Power per area,kcal/(cm^2-s),http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterSecond
kilowattPerSquareMeter,Kilowatt per Square Meter,Power per area,kW/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerDay,Langley per Day,Power per area,Ly/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerHour,Langley per Hour,Power per area,Ly/hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerMinute,Langley per Minute,Power per area,Ly/min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerSecond,Langley per Second,Power per area,Ly/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megajoulePerSquareMeterPerDay,Megajoule per Square Meter per Day,Power per area,MJ/m^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckIntensity,Planck Intensity,Power per area,,
wattPerSquareCentimeter,Watt per Square Centimeter,Power per area,W/cm^2,http://qudt.org/vocab/unit#WattPerSquareCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
wattPerSquareFoot,Watt per Square Foot,Power per area,W/ft^2,http://qudt.org/vocab/unit#WattPerSquareFoot
wattPerSquareInch,Watt per Square Inch,Power per area,W/in^2,http://qudt.org/vocab/unit#WattPerSquareInch
wattPerSquareMeter,Watt per Square Meter,Power per area,W/m^2,http://qudt.org/vocab/unit#WattPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
wattPerSquareMeterQuarticKelvin,Watt per Square Meter Quartic Kelvin,Power per area quartic temperature,W m^-2 K^-4,http://qudt.org/vocab/unit#WattPerSquareMeterQuarticKelvin
voltPerSecond,Volt per Second,Power per electrical charge,V / sec,http://qudt.org/vocab/unit#VoltPerSecond
atmosphere,Atmosphere,Pressure or stress,,http://www.unidata.ucar.edu/software/udunits/
bar,Bar,Pressure or stress,bar,http://qudt.org/vocab/unit#Bar
barie,Barie,Pressure or stress,barie,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimeterOfMercury,Centimeter of Mercury,Pressure or stress,cm Hg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
centimeterOfWater,Centimeter of Water,Pressure or stress,cmH2O,http://qudt.org/vocab/unit#CentimeterOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
decibar,Decibar,Pressure or stress,dbar,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
dynePerSquareCentimeter,Dyne per Square Centimeter,Pressure or stress,dyn/cm^2,http://qudt.org/vocab/unit#DynePerSquareCentimeter
footOfWater,Foot of Water,Pressure or stress,ftH2O,http://qudt.org/vocab/unit#FootOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectopascal,Hectopascal,Pressure or stress,hPa,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
inchOfMercury,Inch of Mercury,Pressure or stress,in_i'Hg,http://qudt.org/vocab/unit#InchOfMercury; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
inchOfMercury(60F),Inch of Mercury (60F),Pressure or stress,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
inchOfWater,Inch of Water,Pressure or stress,in_i'H2O,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
inchOfWater(60F),Inch of Water (60F),Pressure or stress,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilogramForcePerSquareCentimeter,Kilogram Force per Square Centimeter,Pressure or stress,kgf/cm^2,http://qudt.org/vocab/unit#KilogramForcePerSquareCentimeter
kilopascal,Kilopascal,Pressure or stress,KPa,http://qudt.org/vocab/unit#KiloPascal; http://qudt.org/vocab/unit#KiloPascalAbsolute; http://qwwebservices.usgs.gov/service-domains.html
kipPerSquareInch,Kip per Square Inch,Pressure or stress,kip/in^2,http://qudt.org/vocab/unit#KipPerSquareInch
ksi,ksi,Pressure or stress,,http://www.unidata.ucar.edu/software/udunits/
megapascal,Megapascal,Pressure or stress,MPa,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterOfMercury,Meter of Mercury,Pressure or stress,mHg,http://unitsofmeasure.org/ucum.html#para-44
meterOfWater,Meter of Water,Pressure or stress,m H2O; mH2O,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44
microtorr,Microtorr,Pressure or stress,µtorr,http://qudt.org/vocab/unit#MicroTorr
millibar,Millibar,Pressure or stress,mbar,http://qudt.org/vocab/unit#Millibar; http://qwwebservices.usgs.gov/service-domains.html
millimeterOfMercury,Millimeter of Mercury,Pressure or stress,mmHg,http://qudt.org/vocab/unit#MillimeterOfMercury; http://qudt.org/vocab/unit#MillimeterOfMercuryAbsolute; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
millimeterOfWater,Millimeter of Water,Pressure or stress,mm H2O,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millitorr,Millitorr,Pressure or stress,utorr,http://qudt.org/vocab/unit#MilliTorr
newtonPerSquareMeter,Newton per Square Meter,Pressure or stress,Newton/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
pascal,Pascal,Pressure or stress,Pa,http://qudt.org/vocab/unit#Pascal; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
planckPressure,Planck Pressure,Pressure or stress,,http://qudt.org/vocab/unit#PlanckPressure
poundalPerSquareFoot,Poundal per Square Foot,Pressure or stress,pdl/ft^2,http://qudt.org/vocab/unit#PoundalPerSquareFoot
poundForcePerSquareFoot,Pound Force per Square Foot,Pressure or stress,lbf/ft^2,http://qudt.org/vocab/unit#PoundForcePerSquareFoot
poundForcePerSquareInch,Pound Force per Square Inch,Pressure or stress,psi,http://qudt.org/vocab/unit#PoundForcePerSquareInch; http://unitsofmeasure.org/ucum.html#para-47
psi,psi,Pressure or stress,psi,http://www.unidata.ucar.edu/software/udunits/
standardAtmosphere,Standard Atmosphere,Pressure or stress,atm,http://qudt.org/vocab/unit#AtmosphereStandard; http://unitsofmeasure.org/ucum.html#para-32
technicalAtmosphere,Technical Atmosphere,Pressure or stress,at,http://qudt.org/vocab/unit#AtmosphereTechnical; http://unitsofmeasure.org/ucum.html#para-47; http://www.unidata.ucar.edu/software/udunits/
torr,Torr,Pressure or stress,torr,http://qudt.org/vocab/unit#Torr; http://www.unidata.ucar.edu/software/udunits/
pascalPerHour,Pascal per Hour,Pressure or stress rate,P / hr,http://qudt.org/vocab/unit#PascalPerHour
pascalPerMinute,Pascal per Minute,Pressure or stress rate,P / min,http://qudt.org/vocab/unit#PascalPerMinute
pascalPerSecond,Pascal per Second,Pressure or stress rate,P / s,http://qudt.org/vocab/unit#PascalPerSecond
poundForcePerSquareInchSecond,Pound Force per Square Inch Second,Pressure or stress rate,lbf / in^2-s,http://qudt.org/vocab/unit#PoundForcePerSquareInchSecond
quarticCoulombMeterPerCubicEnergy,Quartic Coulomb Meter per Cubic Energy,Quartic electrical dipole moment per cubic energy,C^4 m^4 J^-3,http://qudt.org/vocab/unit#QuarticCoulombMeterPerCubicEnergy
wattPerSquareMeterSteradian,Watt per Square Meter Steradian,Radiance,W/(m^2-sr),http://qudt.org/vocab/unit#WattPerSquareMeterSteradian
wattPerSteradian,Watt per Steradian,Radiant intensity,W sr^-1,http://qudt.org/vocab/unit#WattPerSteradian
becquerel,Becquerel,Radioactivity,Bq,http://qudt.org/vocab/unit#Becquerel
curie,Curie,Radioactivity,Ci,http://qudt.org/vocab/unit#Curie
picocurie,Picocurie,Radioactivity,pCi,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
becquerelPerLiter,Becquerel per Liter,Radioactivity per volume,Bq/L,http://environment.data.gov.au/def/unit/BecquerelPerLitre
disintegrationPerMinutePerLiter,Disintegration per Minute per Liter,Radioactivity per volume,dpm/l,http://qwwebservices.usgs.gov/service-domains.html
millibecquerelPerLiter,Millibecquerel per Liter,Radioactivity per volume,mBq/L,http://environment.data.gov.au/def/unit/MilliBecquerelPerLitre
picocuriePerLiter,Picocurie per Liter,Radioactivity per volume,pCi/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
picocuriePerMilliliter,Picocurie per Milliliter,Radioactivity per volume,pCi/ml,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
practicalSalinityScale,Practical Salinity Scale,Salinity,pss,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
practicalSalinityUnit,Practical Salinity Unit,Salinity,PSU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PSU
meterPerPixel,Meter per Pixel,Satellite resolution,meters per pixel,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterPerQuarticSecond,Meter per Quartic Second,Snap,m/s^4,
fractionalArea,Fractional Area,Solid angle,fa,http://qudt.org/vocab/unit#FractionalArea
sphere,Sphere,Solid angle,sph,http://unitsofmeasure.org/ucum.html#para-47
squareDegree,Square Degree,Solid angle,deg^2,http://qudt.org/vocab/unit#SquareDegree
steradian,Steradian,Solid angle,sr,http://qudt.org/vocab/unit#Steradian; http://unitsofmeasure.org/ucum.html#para-30; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
btuPerPound,Btu per Pound,Specific energy,Btu/lb,http://qudt.org/vocab/unit#BtuPerPound
ergPerGram,Erg per Gram,Specific energy,,http://qudt.org/vocab/unit#ErgPerGram
geopotential,Geopotential,Specific energy,,http://www.unidata.ucar.edu/software/udunits/
joulePerKilogram,Joule per Kilogram,Specific energy,J/kg,http://qudt.org/vocab/unit#JoulePerKilogram
kilocaloriePerGram,Kilocalorie per Gram,Specific energy,kcal/gm,http://qudt.org/vocab/unit#KilocaloriePerGram
meterSquaredPerSecondSquared,Meter Squared per Second Squared,Specific energy,m^2/s^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
btuPerPoundDegreeFahrenheit,Btu per Pound Degree Fahrenheit,Specific heat capacity,Btu/(lb-degF),http://qudt.org/vocab/unit#BtuPerPoundDegreeFahrenheit
btuPerPoundDegreeRankine,Btu per Pound Degree Rankine,Specific heat capacity,Btu/(lb-degR),http://qudt.org/vocab/unit#BtuPerPoundDegreeRankine
caloriePerGramDegreeCelsius,Calorie per Gram Degree Celsius,Specific heat capacity,kcal/(gm-degC),http://qudt.org/vocab/unit#KilocaloriePerGramDegreeCelsius
joulePerKilogramKelvin,Joule per Kilogram Kelvin,Specific heat capacity,J/(kg-K),http://qudt.org/vocab/unit#JoulePerKilogramKelvin
joulePerKilogramKelvinPerPascal,Joule per Kilogram Kelvin per Pascal,Specific heat pressure,,http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerPascal
joulePerKilogramKelvinPerCubicMeter,Joule per Kilogram Kelvin per Cubic Meter,Specific heat volume,,http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerCubicMeter
becquerelPerGram,Becquerel per Gram,Specific radioactivity,Bq/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
disintegrationPerMinutePerGram,Disintegration per Minute per Gram,Specific radioactivity,dpm/g,http://qwwebservices.usgs.gov/service-domains.html
picocuriePerGram,Picocurie per Gram,Specific radioactivity,pCi/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
squareMeterPerGram,Square Meter per Gram,Specific surface area,m^2/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cubicCentimeterPerGram,Cubic Centimeter per Gram,Specific volume,cm^3/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
